"","Code","SampleID","calibrated","SampleCode","Frame","Treatment","TreeNumber","Sampling_Number"
"164",3264,"J459",0.450572025038771,"D_CON_036_(3rd sampling)","D","CON","036","03"
"165",3265,"J462",0.51872536638039,"D_CON_040_(1st sampling)","D","CON","040","01"
"166",3266,"J513",0.630202173051169,"D_CON_040_(2nd sampling)","D","CON","040","02"
"167",3267,"J516",0.588861035146792,"E_CON_047_(1st sampling)","E","CON","047","01"
"168",3268,"J519",0.544781292275078,"E_CON_048_(1st sampling)","E","CON","048","01"
"169",3279,"J522",0.599783402606134,"E_CON_048_(2nd sampling)","E","CON","048","02"
"170",3280,"J525",0.56620946208849,"E_CON_048_(3rd sampling)","E","CON","048","03"
"171",3281,"J528",0.508122734279077,"F_UV_053_(1st sampling)","F","UV","053","01"
"172",3282,"J531",0.511312172564129,"F_UV_053_(2nd sampling)","F","UV","053","02"
"173",3283,"J534",0.590422848526106,"F_UV_054_(1st sampling)","F","UV","054","01"
"174",3284,"J537",0.509385344812943,"F_UV_054_(2nd sampling)","F","UV","054","02"
"175",3285,"J540",0.505160168629777,"F_UV_054_(3rd sampling)","F","UV","054","03"
"176",3286,"J543",0.433700113129611,"F_UV_055_(1st sampling)","F","UV","055","01"
"177",3287,"J610",0.428730318495252,"F_UV_055_(2nd sampling)","F","UV","055","02"
"178",3288,"J613",0.570725242545513,"F_CON_056_(1st sampling)","F","CON","056","01"
"179",3289,"J616",0.600197054194021,"F_CON_056_(2nd sampling)","F","CON","056","02"
"180",3290,"J619",0.452048586703674,"F_CON_057_(1st sampling)","F","CON","057","01"
"181",3296,"J622",0.444586572710998,"F_CON_057_(2nd sampling)","F","CON","057","02"
"182",3296,"J625",0.570650927442512,"F_CON_059_(1st sampling)","F","CON","059","01"
"183",3296,"J628",0.514949401675225,"F_CON_059_(2nd sampling)","F","CON","059","02"
