Age,ADM[x10^22 Am^2]
59.65,6.49475
59.6,6.57492
59.55,6.64294
59.5,6.69363
59.45,6.72363
59.4,6.73164
59.35,6.7169
59.3,6.67889
59.25,6.61837
59.2,6.5413
59.15,6.4557
59.1,6.3688
59.05,6.28759
59,6.21492
58.95,6.15311
58.9,6.10449
58.85,6.07087
58.8,6.04992
58.75,6.03983
58.7,6.03802
58.65,6.04242
58.6,6.05147
58.55,6.0644
58.5,6.07966
58.45,6.09673
58.4,6.11458
58.35,6.13242
58.3,6.14975
58.25,6.1663
58.2,6.18363
58.15,6.20432
58.1,6.23044
58.05,6.2638
58,6.30389
57.95,6.3507
57.9,6.40345
57.85,6.46035
57.8,6.51699
57.75,6.56768
57.7,6.60673
57.65,6.62975
57.6,6.63673
57.55,6.62871
57.5,6.60699
57.45,6.57311
57.4,6.5307
57.35,6.48363
57.3,6.4363
57.25,6.39233
57.2,6.35509
57.15,6.32768
57.1,6.31268
57.05,6.31345
57,6.33078
56.95,6.36647
56.9,6.4213
56.85,6.49578
56.8,6.58682
56.75,6.69078
56.7,6.8038
56.65,6.92199
56.6,7.04044
56.55,7.15397
56.5,7.25768
56.45,7.34716
56.4,7.4219
56.35,7.48139
56.3,7.52613
56.25,7.55639
56.2,7.57527
56.15,7.58639
56.1,7.59363
56.05,7.59984
56,7.60578
55.95,7.61199
55.9,7.61871
55.85,7.62596
55.8,7.63397
55.75,7.64277
55.7,7.65285
55.65,7.66397
55.6,7.67716
55.55,7.6932
55.5,7.71363
55.45,7.7382
55.4,7.7669
55.35,7.79846
55.3,7.83156
55.25,7.86544
55.2,7.89828
55.15,7.92828
55.1,7.95415
55.05,7.97484
55,7.99397
54.95,8.01699
54.9,8.04777
54.85,8.09044
54.8,8.14423
54.75,8.20708
54.7,8.27716
54.65,8.35242
54.6,8.43053
54.55,8.50863
54.5,8.58415
54.45,8.65501
54.4,8.71966
54.35,8.77734
54.3,8.82647
54.25,8.86656
54.2,8.89708
54.15,8.91777
54.1,8.92837
54.05,8.92966
54,8.92423
53.95,8.9157
53.9,8.90794
53.85,8.90354
53.8,8.90147
53.75,8.90018
53.7,8.89785
53.65,8.8932
53.6,8.88751
53.55,8.88285
53.5,8.88079
53.45,8.88337
53.4,8.89268
53.35,8.91079
53.3,8.93923
53.25,8.97906
53.2,9.02535
53.15,9.07139
53.1,9.1107
53.05,9.1376
53,9.14794
52.95,9.1376
52.9,9.10346
52.85,9.04346
52.8,8.9638
52.75,8.87225
52.7,8.77682
52.65,8.68475
52.6,8.59889
52.55,8.52208
52.5,8.45613
52.45,8.40259
52.4,8.35941
52.35,8.32346
52.3,8.29165
52.25,8.26139
52.2,8.23216
52.15,8.2032
52.1,8.17475
52.05,8.14656
52,8.11863
51.95,8.09173
51.9,8.06639
51.85,8.04311
51.8,8.02423
51.75,8.01156
51.7,8.00742
51.65,8.01363
51.6,8.03173
51.55,8.06277
51.5,8.10751
51.45,8.16647
51.4,8.23734
51.35,8.31622
51.3,8.40001
51.25,8.48535
51.2,8.5676
51.15,8.6426
51.1,8.70596
51.05,8.75432
51,8.78846
50.95,8.80992
50.9,8.82053
50.85,8.82156
50.8,8.81458
50.75,8.80087
50.7,8.78147
50.65,8.75691
50.6,8.72587
50.55,8.6863
50.5,8.63561
50.45,8.57303
50.4,8.50191
50.35,8.42716
50.3,8.3532
50.25,8.28389
50.2,8.22208
50.15,8.16958
50.1,8.12846
50.05,8.10001
50,8.08139
49.95,8.06897
49.9,8.05966
49.85,8.04984
49.8,8.03872
49.75,8.02527
49.7,8.00846
49.65,7.98803
49.6,7.96604
49.55,7.94432
49.5,7.92518
49.45,7.9107
49.4,7.9019
49.35,7.89984
49.3,7.90527
49.25,7.91897
49.2,7.94096
49.15,7.97173
49.1,8.01078
49.05,8.05811
49,8.11009
48.95,8.16311
48.9,8.21303
48.85,8.25622
48.8,8.28984
48.75,8.3113
48.7,8.31803
48.65,8.3082
48.6,8.28337
48.55,8.24639
48.5,8.19958
48.45,8.1463
48.4,8.09147
48.35,8.04156
48.3,8.00225
48.25,7.97794
48.2,7.96734
48.15,7.96759
48.1,7.97587
48.05,7.98906
48,8.00432
47.95,8.01828
47.9,8.02759
47.85,8.02966
47.8,8.02449
47.75,8.01182
47.7,7.99268
47.65,7.96734
47.6,7.9394
47.55,7.91303
47.5,7.89208
47.45,7.8794
47.4,7.87449
47.35,7.87604
47.3,7.88225
47.25,7.89078
47.2,7.89699
47.15,7.89466
47.1,7.87863
47.05,7.8432
47,7.78656
46.95,7.7069
46.9,7.60216
46.85,7.47259
46.8,7.32415
46.75,7.16509
46.7,7.0032
46.65,6.84544
46.6,6.69673
46.55,6.56173
46.5,6.44458
46.45,6.34863
46.4,6.27311
46.35,6.21699
46.3,6.1782
46.25,6.1557
46.2,6.14716
46.15,6.15078
46.1,6.16423
46.05,6.18595
46,6.21595
45.95,6.25371
45.9,6.29923
45.85,6.35277
45.8,6.41432
45.75,6.48363
45.7,6.56147
45.65,6.64682
45.6,6.73552
45.55,6.82268
45.5,6.90363
45.45,6.97397
45.4,7.03113
45.35,7.0738
45.3,7.09966
45.25,7.10846
45.2,7.10328
45.15,7.08802
45.1,7.06759
45.05,7.04561
45,7.02544
44.95,7.00992
44.9,7.00242
44.85,7.00423
44.8,7.01302
44.75,7.0244
44.7,7.03423
44.65,7.03889
44.6,7.03475
44.55,7.01923
44.5,6.98871
44.45,6.94139
44.4,6.88061
44.35,6.81052
44.3,6.73527
44.25,6.65897
44.2,6.58449
44.15,6.51466
44.1,6.45233
44.05,6.39958
44,6.35613
43.95,6.32147
43.9,6.29483
43.85,6.27466
43.8,6.25785
43.75,6.24104
43.7,6.22061
43.65,6.19294
43.6,6.15673
43.55,6.11018
43.5,6.05199
43.45,5.98113
43.4,5.89733
43.35,5.80087
43.3,5.69173
43.25,5.5707
43.2,5.44164
43.15,5.30897
43.1,5.17656
43.05,5.0488
43,4.92776
42.95,4.81604
42.9,4.71518
42.85,4.62699
42.8,4.55147
42.75,4.48759
42.7,4.43483
42.65,4.39268
42.6,4.35983
42.55,4.33449
42.5,4.31561
42.45,4.30216
42.4,4.29414
42.35,4.29259
42.3,4.29854
42.25,4.31199
42.2,4.33061
42.15,4.35233
42.1,4.37431
42.05,4.39371
42,4.40535
41.95,4.40354
41.9,4.38337
41.85,4.34069
41.8,4.27578
41.75,4.19147
41.7,4.08957
41.65,3.97268
41.6,3.84337
41.55,3.70449
41.5,3.55862
41.45,3.4094
41.4,3.25966
41.35,3.11328
41.3,2.97337
41.25,2.8438
41.2,2.72793
41.15,2.62966
41.1,2.55261
41.05,2.49903
41,2.46556
40.95,2.44751
40.9,2.44011
40.85,2.44022
40.8,2.45072
40.75,2.47611
40.7,2.52088
40.65,2.58905
40.6,2.68345
40.55,2.80578
40.5,2.95888
40.45,3.14224
40.4,3.34733
40.35,3.56354
40.3,3.77975
40.25,3.98612
40.2,4.17673
40.15,4.34638
40.1,4.49018
40.05,4.60423
40,4.69138
39.95,4.75552
39.9,4.80052
39.85,4.83104
39.8,4.8538
39.75,4.87604
39.7,4.90552
39.65,4.94768
39.6,5.00276
39.55,5.06897
39.5,5.14526
39.45,5.22932
39.4,5.31544
39.35,5.39742
39.3,5.46932
39.25,5.5257
39.2,5.56578
39.15,5.58957
39.1,5.59707
39.05,5.58932
39,5.57044
38.95,5.54561
38.9,5.51949
38.85,5.49699
38.8,5.48095
38.75,5.47397
38.7,5.47914
38.65,5.49725
38.6,5.52363
38.55,5.55259
38.5,5.57794
38.45,5.59449
38.4,5.5994
38.35,5.59113
38.3,5.56733
38.25,5.52699
38.2,5.4732
38.15,5.40983
38.1,5.34001
38.05,5.26759
38,5.19259
37.95,5.11552
37.9,5.03613
37.85,4.95492
37.8,4.87371
37.75,4.79457
37.7,4.71983
37.65,4.65207
37.6,4.59569
37.55,4.55483
37.5,4.5344
37.45,4.5375
37.4,4.5644
37.35,4.6138
37.3,4.68466
37.25,4.77518
37.2,4.88225
37.15,5.00147
37.1,5.12897
37.05,5.26138
37,5.39457
36.95,5.52492
36.9,5.6488
36.85,5.76363
36.8,5.86914
36.75,5.96561
36.7,6.05432
36.65,6.13604
36.6,6.21259
36.55,6.28733
36.5,6.36208
36.45,6.43966
36.4,6.51983
36.35,6.60285
36.3,6.6882
36.25,6.77483
36.2,6.85708
36.15,6.92742
36.1,6.97915
36.05,7.00708
36,7.01225
35.95,6.99751
35.9,6.96596
35.85,6.92147
35.8,6.8713
35.75,6.82397
