"","Date","Code","SampleID","i161","i196","Ratio","nGrains","calibrated","SampleCode","Frame","Treatment","TreeNumber","Sampling_Number","calBatch"
"93",2025-02-26,3153,"J428",2668196,5249464,0.508279702461051,150,0.525118705539267,"D_UV_032_(1st sampling)","D","UV","032","01","2025-02-26"
"94",2025-02-26,3154,"J431",2415678,5509697,0.438441170176872,150,0.4776916608905,"D_UV_032_(2nd sampling)","D","UV","032","02","2025-02-26"
"95",2025-02-26,3155,"J434",2805398,5558496,0.504704509996949,150,0.522690807828974,"D_UV_033_(1st sampling)","D","UV","033","01","2025-02-26"
"96",2025-02-26,3156,"J437",2797823,5283337,0.529556036270259,150,0.539567371634157,"D_UV_033_(2nd sampling)","D","UV","033","02","2025-02-26"
"97",2025-02-26,3157,"J440",3210984,5145008,0.624096988770474,150,0.60376972281072,"D_UV_034_(1st sampling)","D","UV","034","01","2025-02-26"
"98",2025-02-26,3158,"J443",3179421,5392992,0.589546767360308,150,0.580306817164635,"D_UV_034_(2nd sampling)","D","UV","034","02","2025-02-26"
"99",2025-02-26,3159,"J446",2542143,5292878,0.480295030416344,150,0.506114436017325,"D_UV_035_(1st sampling)","D","UV","035","01","2025-02-26"
"100",2025-02-26,3160,"J449",2079888,5177351,0.401728219701542,150,0.452760055307835,"D_UV_035_(2nd sampling)","D","UV","035","02","2025-02-26"
"101",2025-02-26,3161,"J452",2738457,5385539,0.508483366288871,150,0.52525701276222,"D_CON_036_(1st sampling)","D","CON","036","01","2025-02-26"
"102",2025-02-26,3162,"J455",2814486,5317491,0.529288342942188,150,0.539385582255037,"D_CON_036_(2nd sampling)","D","CON","036","02","2025-02-26"
"103",2025-02-26,3163,"J458",2203197,4886721,0.450853854762734,150,0.48612106120592,"D_CON_036_(3rd sampling)","D","CON","036","03","2025-02-26"
"104",2025-02-26,3164,"J461",2702938,5073769,0.532727839994292,150,0.541721329799039,"D_CON_040_(1st sampling)","D","CON","040","01","2025-02-26"
"105",2025-02-27,3175,"J512",3332768,5120424,0.650877349219518,150,0.599254511470195,"D_CON_040_(2nd sampling)","D","CON","040","02","2025-02-27"
"106",2025-02-27,3176,"J515",3255221,5178585,0.628592752653476,150,0.586384055897313,"E_CON_047_(1st sampling)","E","CON","047","01","2025-02-27"
