Date,Code,SampleID,type,std,i161,i196,Ratio,calBatch
2025-02-28T00:00:00Z,3207,J348,sample,va4.7,3309732,5160768,NA,b
2025-02-28T00:00:00Z,3208,J351,sample,va4.7,3271618,5543410,NA,b
2025-02-28T00:00:00Z,3209,J354,sample,va4.7,3643932,5484881,NA,b
2025-02-28T00:00:00Z,3210,J357,sample,va4.7,3365415,5269325,NA,b
2025-02-28T00:00:00Z,3211,J359,sample,va4.7,3031556,5013101,NA,b
2025-02-28T00:00:00Z,3212,J363,sample,va4.7,3466269,4925848,NA,b
2025-02-28T00:00:00Z,3213,J366,sample,va4.7,1620846,5299859,NA,b
2025-02-28T00:00:00Z,3214,J369,sample,va4.7,3066469,5207866,NA,b
2025-02-28T00:00:00Z,3215,J372,sample,va4.7,2999542,5094142,NA,b
2025-02-28T00:00:00Z,3216,J375,sample,va4.7,3279365,5296910,NA,b
2025-02-28T00:00:00Z,3217,blk,blk,va4.7,NA,NA,NA,b
2025-03-04T00:00:00Z,3218,blk,blk,va4.7,NA,NA,NA,c
2025-03-04T00:00:00Z,3219,cal4.1,cal,va4.7,1175885,4136600,NA,c
2025-03-04T00:00:00Z,3220,cal4.2,cal,va4.7,3075048,4551335,NA,c
2025-03-04T00:00:00Z,3221,cal4.3,cal,va4.7,8976320,4518258,NA,c
2025-03-04T00:00:00Z,3222,cal4.4,cal,va4.7,9880476,4739172,NA,c
2025-03-04T00:00:00Z,3223,J495,polcal,va4.7,1179662,4833533,NA,c
2025-03-04T00:00:00Z,3224,J496,polcal,va4.7,3915090,5029055,NA,c
2025-03-04T00:00:00Z,3225,J497,polcal,va4.7,7701153,4746490,NA,c
2025-03-04T00:00:00Z,3226,J498,polcal,va4.7,12186299,4936567,NA,c
2025-03-04T00:00:00Z,3227,J378,sample,va4.7,4089730,5348648,NA,c
2025-03-04T00:00:00Z,3228,J381,sample,va4.7,3194680,5407216,NA,c
2025-03-04T00:00:00Z,3229,J384,sample,va4.7,3123353,5350276,NA,c
2025-03-04T00:00:00Z,3230,J387,sample,va4.7,3093469,5503571,NA,c
2025-03-04T00:00:00Z,3231,J390,sample,va4.7,2459471,5219377,NA,c
2025-03-04T00:00:00Z,3232,J393,sample,va4.7,2823356,5357535,NA,c
2025-03-04T00:00:00Z,3233,J396,sample,va4.7,2770033,5402988,NA,c
2025-03-04T00:00:00Z,3234,J399,sample,va4.7,2827366,5354389,NA,c
2025-03-04T00:00:00Z,3235,J402,sample,va4.7,2259062,5094995,NA,c
2025-03-04T00:00:00Z,3236,J405,sample,va4.7,3180882,5312187,NA,c
2025-03-04T00:00:00Z,3237,J408,sample,va4.7,2831584,5383402,NA,c
2025-03-04T00:00:00Z,3238,J411,sample,va4.7,2679574,5368491,NA,c
2025-03-04T00:00:00Z,3239,J414,sample,va4.7,2986388,5218066,NA,c
2025-03-04T00:00:00Z,3240,J417,sample,va4.7,2482214,4628872,NA,c
2025-03-04T00:00:00Z,3241,J420,sample,va4.7,2825639,4698419,NA,c
2025-03-04T00:00:00Z,3242,J423,sample,va4.7,2985879,4891723,NA,c
2025-03-04T00:00:00Z,3243,blk,blk,va4.7,NA,NA,NA,c
2025-03-05T00:00:00Z,3244,blk,blk,va4.7,NA,NA,NA,c
2025-03-05T00:00:00Z,3245,cal4.1,cal,va4.7,1121822,4115285,NA,c
2025-03-05T00:00:00Z,3246,cal4.2,cal,va4.7,3003638,4581041,NA,c
2025-03-05T00:00:00Z,3247,cal4.3,cal,va4.7,8787691,4616157,NA,c
2025-03-05T00:00:00Z,3248,cal4.4,cal,va4.7,10166804,4411713,NA,c
2025-03-05T00:00:00Z,3249,J499,polcal,va4.7,983943,4616327,NA,c
2025-03-05T00:00:00Z,3250,J500,polcal,va4.7,3210270,4477582,NA,c
2025-03-05T00:00:00Z,3251,J501,polcal,va4.7,6781033,4995433,NA,c
2025-03-05T00:00:00Z,3252,J502,polcal,va4.7,8953845,5251310,NA,c
2025-03-05T00:00:00Z,3253,J426,sample,va4.7,2415413,5121933,NA,c
2025-03-05T00:00:00Z,3254,J429,sample,va4.7,2384599,5124966,NA,c
2025-03-05T00:00:00Z,3255,J432,sample,va4.7,2299353,5241760,NA,c
2025-03-05T00:00:00Z,3256,J435,sample,va4.7,2688454,5302373,NA,c
2025-03-05T00:00:00Z,3257,J438,sample,va4.7,2343862,5146038,NA,c
2025-03-05T00:00:00Z,3258,J441,sample,va4.7,2793160,5167492,NA,c
2025-03-05T00:00:00Z,3259,J444,sample,va4.7,2810894,5121706,NA,c
2025-03-05T00:00:00Z,3260,J447,sample,va4.7,2320263,5503773,NA,c
2025-03-05T00:00:00Z,3261,J450,sample,va4.7,1775194,5432334,NA,c
2025-03-05T00:00:00Z,3262,J453,sample,va4.7,2430374,5225866,NA,c
2025-03-05T00:00:00Z,3263,J456,sample,va4.7,2351074,5066384,NA,c
2025-03-05T00:00:00Z,3264,J459,sample,va4.7,1980177,5080779,NA,c
2025-03-05T00:00:00Z,3265,J462,sample,va4.7,2100957,4319684,NA,c
2025-03-05T00:00:00Z,3266,J513,sample,va4.7,3299537,5120145,NA,c
2025-03-05T00:00:00Z,3267,J516,sample,va4.7,3023510,5161263,NA,c
2025-03-05T00:00:00Z,3268,J519,sample,va4.7,2528924,4832546,NA,c
2025-03-05T00:00:00Z,3269,blk,blk,va4.7,NA,NA,NA,c
2025-03-07T00:00:00Z,3270,blk,blk,va4.7,NA,NA,NA,c
2025-03-07T00:00:00Z,3271,cal4.1,cal,va4.7,889757,3892675,NA,c
2025-03-07T00:00:00Z,3272,cal4.2,cal,va4.7,2458264,4017349,NA,c
2025-03-07T00:00:00Z,3273,cal4.3,cal,va4.7,7182687,4050470,NA,c
2025-03-07T00:00:00Z,3274,cal4.4,cal,va4.7,10483318,4211134,NA,c
2025-03-07T00:00:00Z,3275,J503,polcal,va4.7,942707,4389052,NA,c
2025-03-07T00:00:00Z,3276,J504,polcal,va4.7,3379226,4725090,NA,c
2025-03-07T00:00:00Z,3277,J505,polcal,va4.7,6673388,4929806,NA,c
2025-03-07T00:00:00Z,3278,J506,polcal,va4.7,9595885,5038069,NA,c
2025-03-07T00:00:00Z,3279,J522,sample,va4.7,3134170,5129251,NA,c
2025-03-07T00:00:00Z,3280,J525,sample,va4.7,2727441,4881435,NA,c
2025-03-07T00:00:00Z,3281,J528,sample,va4.7,2266509,4840373,NA,c
2025-03-07T00:00:00Z,3282,J531,sample,va4.7,2321997,4906809,NA,c
2025-03-07T00:00:00Z,3283,J534,sample,va4.7,2956965,4957551,NA,c
2025-03-07T00:00:00Z,3284,J537,sample,va4.7,2385040,5072203,NA,c
2025-03-07T00:00:00Z,3285,J540,sample,va4.7,2126413,4586386,NA,c
2025-03-07T00:00:00Z,3286,J543,sample,va4.7,1688708,4793157,NA,c
2025-03-07T00:00:00Z,3287,J610,sample,va4.7,1638624,4755499,NA,c
2025-03-07T00:00:00Z,3288,J613,sample,va4.7,2762468,4882651,NA,c
2025-03-07T00:00:00Z,3289,J616,sample,va4.7,2973305,4860860,NA,c
2025-03-07T00:00:00Z,3290,J619,sample,va4.7,1818869,4775195,NA,c
2025-03-07T00:00:00Z,3296,J622,sample,va4.7,1427372,3865334,NA,c
2025-03-07T00:00:00Z,3296,J625,sample,va4.7,2408221,4257392,NA,c
2025-03-07T00:00:00Z,3296,J628,sample,va4.7,2036904,4253427,NA,c
